# t rg re1 re2
527 4.454502 13.345449 13.345449
528 4.371542 12.176363 12.176363
529 4.155315 10.670226 10.670226
530 4.263438 10.672637 10.672637
531 4.455110 11.358293 11.358293
532 4.695114 13.423712 13.423712
533 4.832707 13.739134 13.739134
534 5.013266 14.986438 14.986438
535 4.927662 13.149556 13.149556
536 4.553835 11.296635 11.296635
537 4.242496 9.511759 9.511759
538 3.974217 8.680555 8.680555
539 3.687672 7.139890 7.139890
540 3.495437 5.800473 5.800473
541 3.583627 5.579442 5.579442
542 3.640679 5.903280 5.903280
543 3.421210 6.131031 6.131031
544 3.216539 5.624262 5.624262
545 3.190698 6.330450 6.330450
546 3.162129 8.259185 8.259185
547 3.372520 8.968590 8.968590
548 3.297769 9.038829 9.038829
549 3.249327 8.539385 8.539385
550 3.301506 8.574910 8.574910
551 3.283071 8.953056 8.953056
552 3.071590 7.799867 7.799867
553 3.139311 7.010690 7.010690
554 3.192422 6.591051 6.591051
555 3.137261 5.877055 5.877055
556 3.096135 5.129685 5.129685
557 3.147731 6.107048 6.107048
558 3.054870 6.037810 6.037810
559 3.219777 7.673783 7.673783
560 3.285435 8.285617 8.285617
561 3.210742 7.558926 7.558926
562 3.298683 6.495007 6.495007
563 3.326285 5.269512 5.269512
564 3.032551 4.499111 4.499111
565 3.053783 4.539998 4.539998
566 3.131668 5.535412 5.535412
567 3.075103 4.735462 4.735462
568 3.083823 5.071017 5.071017
569 3.057862 4.981426 4.981426
570 3.248357 5.089923 5.089923
571 3.394944 4.869382 4.869382
572 3.398258 6.078833 6.078833
573 3.280986 6.922760 6.922760
574 3.296389 7.818191 7.818191
575 3.433710 8.930197 8.930197
576 3.381832 8.396501 8.396501
577 3.506287 8.690896 8.690896
578 3.610859 8.258091 8.258091
579 3.484810 6.472731 6.472731
580 3.355416 4.503809 4.503809
581 3.288837 4.670896 4.670896
582 3.416642 7.141421 7.141421
583 3.339275 5.773972 5.773972
584 3.216661 5.222417 5.222417
585 2.924222 4.132781 4.132781
586 2.901409 4.936670 4.936670
587 2.894523 5.708497 5.708497
588 2.945050 6.081754 6.081754
589 2.909851 6.319746 6.319746
590 3.022450 5.399498 5.399498
591 3.128135 4.740084 4.740084
592 2.919612 3.640927 3.640927
593 2.903762 3.469167 3.469167
594 3.011290 3.991130 3.991130
595 2.939852 4.806532 4.806532
596 2.672570 3.762465 3.762465
597 2.323906 3.984153 3.984153
598 2.161595 3.717670 3.717670
599 2.123613 3.732924 3.732924
600 2.346159 5.308853 5.308853
601 2.486620 5.448218 5.448218
602 2.650442 5.003896 5.003896
603 2.714724 6.632168 6.632168
604 2.431346 7.189795 7.189795
605 2.267854 6.489608 6.489608
606 2.271926 6.720207 6.720207
607 2.252941 4.350794 4.350794
608 2.185321 4.507634 4.507634
609 2.235424 6.158259 6.158259
610 2.561452 6.840049 6.840049
611 2.496955 5.224777 5.224777
612 2.547608 5.240149 5.240149
613 2.472898 5.179671 5.179671
614 2.619558 6.265353 6.265353
615 2.837819 7.247474 7.247474
616 2.760240 7.058214 7.058214
617 2.719063 5.331572 5.331572
618 2.725352 5.109914 5.109914
619 2.765738 3.286342 3.286342
620 3.015564 3.984565 3.984565
621 2.887983 4.941786 4.941786
622 2.682976 4.971288 4.971288
623 2.746357 5.481201 5.481201
624 2.765564 4.764243 4.764243
625 2.807543 3.374082 3.374082
626 2.897715 3.405193 3.405193
627 2.988961 3.239473 3.239473
628 2.983215 3.316139 3.316139
629 2.855402 3.733146 3.733146
630 2.910346 3.974880 3.974880
631 2.932958 4.376452 4.376452
632 2.770606 4.583685 4.583685
633 2.782218 5.441862 5.441862
634 2.601923 4.598625 4.598625
635 2.539222 4.743156 4.743156
636 2.566384 6.224780 6.224780
637 2.663325 6.431846 6.431846
638 2.739083 4.803895 4.803895
639 3.084738 5.243265 5.243265
640 3.210341 6.992925 6.992925
641 3.055509 6.712429 6.712429
642 3.036870 6.650352 6.650352
643 2.974658 6.155057 6.155057
644 3.080238 7.007794 7.007794
645 3.044011 6.308440 6.308440
646 2.977190 5.569608 5.569608
647 3.056402 5.194282 5.194282
648 3.303346 5.143157 5.143157
649 3.437453 4.923114 4.923114
650 3.611909 6.044136 6.044136
651 3.611475 4.377704 4.377704
652 3.379679 4.772057 4.772057
653 3.202093 6.858610 6.858610
654 3.277125 7.991769 7.991769
655 3.266531 9.425472 9.425472
656 3.520166 10.456447 10.456447
657 3.598401 10.248234 10.248234
658 3.548940 10.036007 10.036007
659 3.581140 10.585849 10.585849
660 3.467222 9.649561 9.649561
661 3.406717 8.397265 8.397265
662 3.299079 6.225083 6.225083
663 3.322724 5.250922 5.250922
664 3.312749 6.980739 6.980739
665 3.430831 6.814148 6.814148
666 3.393597 6.714163 6.714163
667 3.363174 6.766189 6.766189
668 3.544377 6.879146 6.879146
669 3.540040 6.374459 6.374459
670 3.618497 6.516498 6.516498
671 3.830243 7.754455 7.754455
672 3.818741 9.750787 9.750787
673 3.735366 9.513770 9.513770
674 3.701800 9.971336 9.971336
675 3.706423 10.879833 10.879833
676 3.733823 11.613468 11.613468
677 3.595961 11.342970 11.342970
678 3.627973 11.115828 11.115828
679 3.695731 10.173527 10.173527
680 3.945205 8.590937 8.590937
681 3.940395 7.920917 7.920917
682 3.876405 9.290415 9.290415
683 3.519697 7.842778 7.842778
684 3.239487 5.567112 5.567112
685 3.249232 4.573881 4.573881
686 3.468767 5.474767 5.474767
687 3.208138 5.247354 5.247354
688 2.834154 5.660958 5.660958
689 2.803977 5.087898 5.087898
690 2.925817 4.501696 4.501696
691 3.059723 3.960013 3.960013
692 2.772344 3.681944 3.681944
693 2.744961 3.747959 3.747959
694 2.771715 4.017087 4.017087
695 2.704446 5.037980 5.037980
696 2.548860 4.913863 4.913863
697 2.348939 3.975182 3.975182
698 2.309952 2.818643 2.818643
699 2.475687 3.535608 3.535608
700 2.547921 4.733820 4.733820
701 2.630830 4.297461 4.297461
702 2.531802 3.632698 3.632698
703 2.335402 3.238862 3.238862
704 2.413438 3.482500 3.482500
705 2.732924 5.666973 5.666973
706 2.695900 5.739236 5.739236
707 2.511609 5.059174 5.059174
708 2.453048 4.019681 4.019681
709 2.674200 3.291325 3.291325
710 2.760114 4.721857 4.721857
711 2.653721 5.411993 5.411993
712 2.693008 3.835141 3.835141
713 2.715021 4.297152 4.297152
714 2.965606 6.338859 6.338859
715 2.958963 7.859966 7.859966
716 2.733694 6.674964 6.674964
717 2.602005 5.581830 5.581830
718 2.529934 4.536055 4.536055
719 2.686982 5.355869 5.355869
720 2.962673 4.377174 4.377174
721 2.897909 3.687584 3.687584
722 2.925532 4.635209 4.635209
723 3.124308 5.974612 5.974612
724 3.049328 6.360631 6.360631
725 2.824372 6.721151 6.721151
726 2.672438 7.152382 7.152382
727 2.912947 6.920798 6.920798
728 3.026663 7.487531 7.487531
729 3.038503 7.101665 7.101665
730 3.081369 7.969435 7.969435
731 2.799291 7.241799 7.241799
732 2.552318 6.515864 6.515864
733 2.528347 6.899842 6.899842
734 2.519174 7.629419 7.629419
735 2.503052 8.127926 8.127926
736 2.489890 8.365601 8.365601
737 2.399705 7.193735 7.193735
738 2.515265 6.317352 6.317352
739 2.389326 5.426308 5.426308
740 2.295908 3.128336 3.128336
741 2.200392 2.775831 2.775831
742 2.297064 3.045623 3.045623
743 2.381974 3.661404 3.661404
744 2.208605 2.368553 2.368553
745 2.307569 2.493432 2.493432
746 2.476436 3.409022 3.409022
747 2.685495 6.274734 6.274734
748 2.776130 7.737534 7.737534
749 2.600349 6.577727 6.577727
750 2.489419 4.909189 4.909189
751 2.229574 3.953101 3.953101
752 2.275855 4.896359 4.896359
753 2.474234 5.193775 5.193775
754 2.797125 6.366440 6.366440
755 2.975191 6.345669 6.345669
756 3.010421 8.003258 8.003258
757 3.029085 8.959357 8.959357
758 3.182990 9.682115 9.682115
759 3.275357 9.961474 9.961474
760 3.350889 10.898619 10.898619
